FS,CLF,Config,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
VT,DT,FS_only,0.9787011853879667,0.007142236311173587,0.8301398531539766,0.020769790271342705,0.9813638110119632,0.006211126924750396
VT,DT,FS_FE,0.8807120878799356,0.009619836946517041,0.6711985242006892,0.03096364699435022,0.8998105208791976,0.00795091738559039
VT,LR,FS_only,0.939452787171093,0.00581970580243165,0.773368271709152,0.03520016492194969,0.9480248687165823,0.004353081143898238
VT,LR,FS_FE,0.8471778675535627,0.008200264734299639,0.6955930761018297,0.04622488301111748,0.8764991082382336,0.006593578808484704
VT,KNN,FS_only,0.8988823209315684,0.007202108898988407,0.7438800806296385,0.05353004889106894,0.9175818902089252,0.005600187573699789
VT,KNN,FS_FE,0.8907006068199625,0.0074577014229872405,0.7301833514308552,0.05312813946468166,0.9111131113850442,0.00606538490230216
VT,NB,FS_only,0.7254218495773034,0.035201635594433456,0.6538636538317512,0.046621910964810845,0.7921244628735705,0.03518909625814686
VT,NB,FS_FE,0.633234640817403,0.027415765789635182,0.45968447441507704,0.01868841906913554,0.6991481346943427,0.025500297419496235
VT,SVM,FS_only,0.8496449474192828,0.024676243182256304,0.7188317086403617,0.04878785552042191,0.8832958232551139,0.016656686304601584
VT,SVM,FS_FE,0.7337507366821986,0.010020767473617732,0.6460167989177616,0.043729625486830466,0.797983158989219,0.007612765978030119
VT,RF,FS_only,0.9906285059057404,0.0020192243815727565,0.8850893913581449,0.059274604935377534,0.9908892533775592,0.0019043369103908586
VT,RF,FS_FE,0.9040967734929892,0.007273150964391445,0.7522416660514405,0.05079108321824948,0.922024606618045,0.0059123753591865304
VT,ET,FS_only,0.9811689999534904,0.0035765378846233167,0.859399895951847,0.05579433382811691,0.982291687150877,0.0031614988706191627
VT,ET,FS_FE,0.9047432801912341,0.0062683721928467285,0.7318636706556357,0.04143541662013753,0.9225233597224086,0.004888915793199637
VT,GB,FS_only,0.9867506470617688,0.003941304678177057,0.8478425645129045,0.013029720357010919,0.9880095106599621,0.00334415483165891
VT,GB,FS_FE,0.8961354919784537,0.008403390405873417,0.6927352686736215,0.01416132516606509,0.9153533867363263,0.006625060874764337
VT,XGB,FS_only,0.9872940918840173,0.002566940110772149,0.86480630545955,0.04889427169075796,0.9876458780924833,0.002526320115626654
VT,XGB,FS_FE,0.9104424566121736,0.00601015356206818,0.7358477228388592,0.04775590834352604,0.9257007968236896,0.0049861621834828606
VT,LGBM,FS_only,0.9886161437238529,0.0017544326863381137,0.8421864406743802,0.004877016431197141,0.9891705058414788,0.001631241380264314
VT,LGBM,FS_FE,0.9163915960311064,0.006073426633445733,0.7438124040019685,0.043536074544601164,0.9307643907921784,0.0051761665573543236
VT,CAT,FS_only,0.9867212331771141,0.003440524486019884,0.8516648410828211,0.04197800522933501,0.9873133074397031,0.0031074849123275882
VT,CAT,FS_FE,0.9031713365577916,0.006870288255411034,0.7373164892157887,0.05067093030892818,0.9200144360998991,0.005759693312893338
VT,STACK,FS_only,0.9896443512443761,0.0018152927583664146,0.8915497454628298,0.0613653006799573,0.9899012584625985,0.0017576275724656368
VT,STACK,FS_FE,0.9217822017710281,0.005103978641597172,0.77311152209064,0.05967966246204387,0.9345823606632905,0.004461979420404111
ANOVA,DT,FS_only,0.981389241593343,0.004892303227374138,0.8292941489103304,0.010017011107451458,0.9835253152218455,0.004109041810629869
