FS,FE,CLF,n_ok_folds,n_total_folds,success_rate,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_mean,precision_std,recall_mean,recall_std
Chi2,LDA,STACK,15,15,1.0,0.9533484170115952,0.00637932050029068,0.8360931906196268,0.059546304591979536,0.9588174152650561,0.004915494678069893,0.7937990856973263,0.05671033005338038,0.9091992605689578,0.062398776251296584
ANOVA,LDA,STACK,15,15,1.0,0.9522910351120804,0.008584631869403685,0.8328699479660154,0.06281088507551665,0.9583300495807482,0.006607163745993189,0.789409034533029,0.06018659765058099,0.9111214653281653,0.06264122193330679
ANOVA,PCA,STACK,15,15,1.0,0.9504694845025755,0.004962796047406073,0.8285179434966954,0.06257222049103064,0.9574782690291355,0.004064678589063386,0.7836626452241403,0.06073152445462164,0.910810284811988,0.0634744436414173
ANOVA,SVD,STACK,15,15,1.0,0.9504694845025755,0.004962796047406073,0.8285179434966954,0.06257222049103064,0.9574782690291355,0.004064678589063386,0.7836626452241403,0.06073152445462164,0.910810284811988,0.0634744436414173
ANOVA,ICA,STACK,15,15,1.0,0.9459013412090563,0.0068358926800990575,0.8276621728760236,0.06049427421310809,0.9543057481060156,0.005371570905803036,0.7865997788256727,0.059068870689031695,0.9089000690250442,0.062043377710935724
VT,LDA,STACK,15,15,1.0,0.9563155523358227,0.005182798215497107,0.8269880701766811,0.05662977332791036,0.9609818613799546,0.00419194069142942,0.7855166199680401,0.05548770414448702,0.8975638934352129,0.05855031819531655
Chi2,ICA,STACK,15,15,1.0,0.9380719269813259,0.007411808524521819,0.8195587214347279,0.057673585599142735,0.9482302240157421,0.005691010390803282,0.7761390670252263,0.053931412168353725,0.9079355472218216,0.06369958563801147
VT,LDA,RF,15,15,1.0,0.9531723447471698,0.006267084356228745,0.8162637432432851,0.05652448234114667,0.958372407666885,0.0052035932952353816,0.7726647346733416,0.05352762200412523,0.8914997712650614,0.05810336845002503
Chi2,PCA,STACK,15,15,1.0,0.9328868656486189,0.007880141654123561,0.8156682275469763,0.05781793411531785,0.9446241967172014,0.00617863319727479,0.7728650136827449,0.055128436807094686,0.9059922995067965,0.06299050114490093
Chi2,SVD,STACK,15,15,1.0,0.9328868656486189,0.007880141654123561,0.8156682275469763,0.05781793411531785,0.9446241967172014,0.00617863319727479,0.7728650136827449,0.055128436807094686,0.9059922995067965,0.06299050114490093
VT,LDA,KNN,15,15,1.0,0.947928339128885,0.006706487069407106,0.8108084516871653,0.05402115816637925,0.9549238238795592,0.005449867168749855,0.7662167802446985,0.051181256921169156,0.8947820651801889,0.05745289553984892
ANOVA,LDA,KNN,15,15,1.0,0.9333276920040031,0.006609057637974182,0.8105214585062546,0.06056709120916029,0.9444683514703123,0.005075495824756297,0.7643417151993772,0.05853371866048382,0.9111399399034904,0.06325876300416255
VT,LDA,ET,15,15,1.0,0.9529960006114514,0.0065795289682387135,0.8098733825790596,0.046372855749590366,0.9585299186319828,0.005348672280826699,0.766740829908221,0.04439465273293615,0.8856885422742712,0.04919731768520243
Chi2,LDA,KNN,15,15,1.0,0.9314769508326916,0.008545264484512455,0.8076913478446186,0.05627261563352379,0.9427039201817472,0.007138751513722286,0.76310583492075,0.053424506166924755,0.9020969999408393,0.0598562380557474
ANOVA,ICA,SVM,15,15,1.0,0.9147462050732282,0.011631849771382822,0.8073939192884795,0.05835620697553965,0.9328997242760273,0.007859819516781436,0.7732090250440596,0.054345683059039133,0.9025557610811156,0.06469821565854024
ANOVA,LDA,RF,15,15,1.0,0.9427580365235131,0.010825713675046858,0.8065215872636041,0.05733827990890267,0.9512444179114806,0.008374483727084695,0.7623350334143243,0.05535856159962948,0.8943469540734746,0.056935349280108655
ANOVA,ICA,RF,15,15,1.0,0.9318293413403314,0.005999164327428621,0.805953255857592,0.059112037211664574,0.9449189814910273,0.004478455239357205,0.7724773431267377,0.055857699161187,0.8900640219533288,0.06412201894067344
ANOVA,PCA,ET,15,15,1.0,0.9368236946706723,0.005970660948754338,0.805801668528245,0.05650106175913578,0.9480938050804475,0.004532186565828013,0.764006806101674,0.0568622374606627,0.8948187186989998,0.05630685689712022
ANOVA,SVD,ET,15,15,1.0,0.9368236946706723,0.005970660948754338,0.805801668528245,0.05650106175913578,0.9480938050804475,0.004532186565828013,0.764006806101674,0.0568622374606627,0.8948187186989998,0.05630685689712022
ANOVA,PCA,RF,15,15,1.0,0.9378958029318923,0.005680326405706513,0.8050104573114455,0.053495905366993966,0.949110431950904,0.004451299080951054,0.7635272269136472,0.05109472585954097,0.8941496932657251,0.056656215902928415
ANOVA,SVD,RF,15,15,1.0,0.9378958029318923,0.005680326405706513,0.8050104573114455,0.053495905366993966,0.949110431950904,0.004451299080951054,0.7635272269136472,0.05109472585954097,0.8941496932657251,0.056656215902928415
Chi2,ICA,XGB,15,15,1.0,0.9309039076416968,0.006836380599954983,0.8027145646774394,0.05502670815144777,0.9430386533922449,0.005290762112214986,0.7576352750351355,0.05325437855072207,0.8982766341879456,0.058574053732181476
Chi2,ICA,RF,15,15,1.0,0.9204896220739812,0.010045134761582263,0.8025794251272591,0.05882138007532934,0.935970242549408,0.007595983996892868,0.7678041205340544,0.05483187176108269,0.8938883469746487,0.06465799296421276
ANOVA,ICA,ET,15,15,1.0,0.9277311696521209,0.006547763327644982,0.8012832274387515,0.0541498191190874,0.9420095768477904,0.004969117275633241,0.7650639902086359,0.05160686319800112,0.8903935541873814,0.05817978957608197
Chi2,LDA,RF,15,15,1.0,0.9466354843239821,0.007646300179669681,0.7992292413274538,0.040209746270867534,0.9540494300900081,0.005939877044581001,0.7586372788053128,0.038405477951245236,0.8761789693558512,0.043903306885758206
Chi2,ICA,ET,15,15,1.0,0.9174488322852858,0.010821483036536371,0.7986947078459381,0.05176813816125651,0.934275771364662,0.00842437607827853,0.7622730177106377,0.04833683142310701,0.8933616982042224,0.05883591279284042
Chi2,LDA,LGBM,15,15,1.0,0.9493529997258955,0.005532103368735985,0.7978184373042648,0.03239029992350737,0.9558197583438754,0.004222507641476523,0.7544876093583145,0.029996860714116065,0.8776022062772938,0.043404366094389316
ANOVA,PCA,KNN,15,15,1.0,0.9157891939770282,0.00786529386740607,0.7953752744705136,0.0567177987620822,0.9327741833569629,0.005571502865849356,0.7465270572692791,0.05296527695074828,0.9084591210211473,0.06273633179630463
ANOVA,SVD,KNN,15,15,1.0,0.9157891939770282,0.00786529386740607,0.7953752744705136,0.0567177987620822,0.9327741833569629,0.005571502865849356,0.7465270572692791,0.05296527695074828,0.9084591210211473,0.06273633179630463
VT,LDA,XGB,15,15,1.0,0.9539066852924395,0.006136630345910069,0.7947310059166663,0.029873338582924364,0.9591444020166615,0.005031844833216188,0.7523365050729406,0.02793611827274056,0.8667632281938145,0.03306389185446995
Chi2,ICA,SVM,15,15,1.0,0.8919052749924725,0.017593466511238505,0.7937619770343872,0.05580457693337325,0.9175620581981448,0.012367339698942778,0.763943341761269,0.053493670951630566,0.8952886238378299,0.060616676585325116
ANOVA,ICA,LR,15,15,1.0,0.9064322773625751,0.008042708468659667,0.7929239026314864,0.05734008466958567,0.9261596328095699,0.006121733185875763,0.7520111537226242,0.05320938712806894,0.9028928325472545,0.06496055545608936
Chi2,ICA,CAT,15,15,1.0,0.9253955460297033,0.008520598059509568,0.792514407271103,0.05229002973121023,0.9389425514749868,0.006634239950286377,0.7521054164725105,0.05035497250539448,0.8845327912433987,0.055355225954591976
ANOVA,PCA,LR,15,15,1.0,0.903318124400083,0.007838533083083122,0.7916279137121579,0.05567532738732227,0.9242157096130537,0.005444435420233728,0.7485488940713648,0.05358113281131573,0.9059800025444563,0.0628304882818636
ANOVA,SVD,LR,15,15,1.0,0.9033769068575099,0.0077149686748242425,0.7916130150022058,0.05584493840371213,0.9242479325093463,0.005335395820653418,0.7484701316223352,0.05380375747116333,0.9059926355408084,0.0628742252261363
Chi2,LDA,ET,15,15,1.0,0.9446673983241013,0.005895408728421449,0.7910242865850898,0.029327720993265565,0.9524242389420465,0.004601582078304153,0.7495710722415699,0.027299214408401367,0.8693913896801738,0.031505235710581184
VT,ICA,STACK,15,15,1.0,0.9238094133040152,0.007367348131936056,0.7876026936388238,0.059727693122534294,0.9363717087943901,0.006096237841063855,0.7348980023790427,0.06007735549316978,0.8985429889210041,0.05932921960991235
ANOVA,PCA,XGB,15,15,1.0,0.9424787988130745,0.006718203756849979,0.7872338408873278,0.043782307352428586,0.951295341943982,0.005398898880894504,0.7396522870753046,0.043155778203459894,0.8772965398266755,0.04407523750961615
ANOVA,SVD,XGB,15,15,1.0,0.9424787988130745,0.006718203756849979,0.7872338408873278,0.043782307352428586,0.951295341943982,0.005398898880894504,0.7396522870753046,0.043155778203459894,0.8772965398266755,0.04407523750961615
ANOVA,ICA,KNN,15,15,1.0,0.9046405096059087,0.008649264170535506,0.7867716445438387,0.058793779722571826,0.9235841215768207,0.0061060688521738776,0.7359176474495648,0.05658609727508283,0.905536765366927,0.06293860393814706
