FS,FE,Classifier,fold,accuracy,macro_f1,weighted_f1
VT,None,DT,1,0.811,0.65,0.8097
VT,None,DT,2,0.8317,0.6747,0.8239
VT,None,DT,3,0.8203,0.661,0.8136
VT,None,DT,4,0.8309,0.6441,0.8074
VT,None,DT,5,0.8235,0.6555,0.8088
VT,None,LR,1,0.8356,0.6578,0.8177
VT,None,LR,2,0.8237,0.656,0.8161
VT,None,LR,3,0.8317,0.6631,0.8247
VT,None,LR,4,0.8283,0.6609,0.8195
VT,None,LR,5,0.8135,0.6507,0.8022
VT,None,KNN,1,0.87,0.6968,0.8702
VT,None,KNN,2,0.8824,0.7014,0.8636
VT,None,KNN,3,0.873,0.706,0.861
VT,None,KNN,4,0.8805,0.7065,0.8646
VT,None,KNN,5,0.8673,0.6776,0.848
VT,None,NB,1,0.7319,0.556,0.7196
VT,None,NB,2,0.7276,0.5501,0.7106
VT,None,NB,3,0.7248,0.5554,0.7132
VT,None,NB,4,0.7417,0.5652,0.7329
VT,None,NB,5,0.7301,0.5661,0.7274
VT,None,SVM,1,0.816,0.645,0.8042
VT,None,SVM,2,0.8139,0.6539,0.8017
VT,None,SVM,3,0.8079,0.6419,0.7932
VT,None,SVM,4,0.8311,0.6588,0.8149
VT,None,SVM,5,0.8123,0.6454,0.8058
VT,None,RF,1,0.8946,0.739,0.8831
VT,None,RF,2,0.8872,0.7283,0.8761
VT,None,RF,3,0.9023,0.7191,0.884
VT,None,RF,4,0.8857,0.7152,0.8668
VT,None,RF,5,0.9056,0.7346,0.8918
VT,None,ET,1,0.906,0.7296,0.893
VT,None,ET,2,0.9087,0.7419,0.8915
VT,None,ET,3,0.9061,0.7296,0.8883
VT,None,ET,4,0.8778,0.6969,0.8638
VT,None,ET,5,0.8845,0.7114,0.874
VT,None,GB,1,0.9262,0.741,0.912
VT,None,GB,2,0.8682,0.7014,0.8579
VT,None,GB,3,0.8669,0.7033,0.8579
VT,None,GB,4,0.8721,0.7067,0.8636
VT,None,GB,5,0.8788,0.6989,0.8742
VT,None,XGB,1,0.8807,0.7077,0.8703
VT,None,XGB,2,0.9082,0.7251,0.8899
VT,None,XGB,3,0.9006,0.729,0.8831
VT,None,XGB,4,0.8676,0.6988,0.8581
VT,None,XGB,5,0.8819,0.7073,0.8708
VT,None,LGBM,1,0.8896,0.7222,0.8733
VT,None,LGBM,2,0.8816,0.716,0.8767
VT,None,LGBM,3,0.8593,0.707,0.8577
VT,None,LGBM,4,0.9361,0.7494,0.9152
VT,None,LGBM,5,0.8845,0.7049,0.869
VT,None,CAT,1,0.8981,0.7272,0.8872
VT,None,CAT,2,0.8729,0.6952,0.8588
VT,None,CAT,3,0.9125,0.7334,0.8918
VT,None,CAT,4,0.8838,0.7146,0.8671
