Dataset,FS,FE,Classifier,Configuration,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,delta_macro_f1
UNSW-NB15,VT,FS-only,DT,VT-FS-only-DT,0.9014,0.0787,0.7283,0.0639,0.9249,0.0078,0.0
UNSW-NB15,VT,PCA,DT,VT-PCA-DT,0.9018,0.0714,0.7276,0.0736,0.9147,0.008,-0.0058
UNSW-NB15,VT,LDA,DT,VT-LDA-DT,0.9297,0.0661,0.8532,0.055,0.9521,0.0047,0.1198
UNSW-NB15,VT,ICA,DT,VT-ICA-DT,0.9179,0.0746,0.7477,0.0713,0.9319,0.0079,0.0161
UNSW-NB15,VT,SVD,DT,VT-SVD-DT,0.8995,0.0674,0.7293,0.061,0.9192,0.0098,-0.0014
UNSW-NB15,VT,FS-only,LR,VT-FS-only-LR,0.9215,0.0663,0.7386,0.0637,0.925,0.0055,0.0
UNSW-NB15,VT,PCA,LR,VT-PCA-LR,0.9046,0.0724,0.7345,0.0647,0.918,0.0082,-0.0139
UNSW-NB15,VT,LDA,LR,VT-LDA-LR,0.9358,0.0508,0.8734,0.0588,0.9564,0.0076,0.1325
UNSW-NB15,VT,ICA,LR,VT-ICA-LR,0.9307,0.0692,0.7613,0.0632,0.9359,0.0078,0.016
UNSW-NB15,VT,SVD,LR,VT-SVD-LR,0.9095,0.0742,0.7423,0.0673,0.9208,0.0065,-0.0023
UNSW-NB15,VT,FS-only,KNN,VT-FS-only-KNN,0.9269,0.0818,0.7819,0.059,0.932,0.0072,0.0
UNSW-NB15,VT,PCA,KNN,VT-PCA-KNN,0.9112,0.0696,0.7689,0.0639,0.924,0.0061,-0.0124
UNSW-NB15,VT,LDA,KNN,VT-LDA-KNN,0.9427,0.0496,0.9,0.0575,0.9661,0.0061,0.1193
UNSW-NB15,VT,ICA,KNN,VT-ICA-KNN,0.9366,0.0682,0.7878,0.0623,0.9373,0.0083,0.0119
UNSW-NB15,VT,SVD,KNN,VT-SVD-KNN,0.9161,0.0629,0.7809,0.0637,0.9268,0.0067,0.0039
