FS,FE,Classifier,fold,accuracy,macro_f1,weighted_f1
VT,None,DT,1,0.8505,0.7062,0.8432
VT,None,DT,2,0.8221,0.6793,0.8236
VT,None,DT,3,0.8552,0.7074,0.8436
VT,None,DT,4,0.8345,0.6875,0.8348
VT,None,DT,5,0.8405,0.6868,0.8249
VT,None,LR,1,0.8337,0.689,0.8281
VT,None,LR,2,0.8478,0.7004,0.8433
VT,None,LR,3,0.8685,0.7114,0.856
VT,None,LR,4,0.855,0.709,0.8456
VT,None,LR,5,0.842,0.6906,0.8293
VT,None,KNN,1,0.8677,0.7231,0.8611
VT,None,KNN,2,0.8681,0.7215,0.8582
VT,None,KNN,3,0.8783,0.7188,0.86
VT,None,KNN,4,0.882,0.7374,0.8765
VT,None,KNN,5,0.8812,0.7225,0.871
VT,None,NB,1,0.7551,0.5936,0.7346
VT,None,NB,2,0.7558,0.6012,0.7443
VT,None,NB,3,0.739,0.5965,0.7308
VT,None,NB,4,0.755,0.5979,0.7408
VT,None,NB,5,0.7652,0.6093,0.7507
VT,None,SVM,1,0.8413,0.6825,0.8287
VT,None,SVM,2,0.8391,0.687,0.8295
VT,None,SVM,3,0.8698,0.7013,0.8489
VT,None,SVM,4,0.8163,0.676,0.8088
VT,None,SVM,5,0.8476,0.6916,0.836
VT,None,RF,1,0.8824,0.7298,0.8682
VT,None,RF,2,0.905,0.7523,0.8961
VT,None,RF,3,0.901,0.748,0.8889
VT,None,RF,4,0.8992,0.752,0.8926
VT,None,RF,5,0.91,0.7538,0.8944
VT,None,ET,1,0.921,0.772,0.9129
VT,None,ET,2,0.9061,0.7536,0.8957
VT,None,ET,3,0.9037,0.7566,0.8968
VT,None,ET,4,0.9209,0.767,0.9047
VT,None,ET,5,0.9115,0.764,0.907
VT,None,GB,1,0.8906,0.7417,0.8854
VT,None,GB,2,0.8806,0.7373,0.8775
VT,None,GB,3,0.8931,0.7432,0.8874
VT,None,GB,4,0.8868,0.7435,0.8769
VT,None,GB,5,0.8815,0.7238,0.8694
VT,None,XGB,1,0.9022,0.7498,0.8859
VT,None,XGB,2,0.9166,0.7697,0.9004
VT,None,XGB,3,0.912,0.7663,0.908
VT,None,XGB,4,0.9047,0.7586,0.8977
VT,None,XGB,5,0.8944,0.7377,0.8805
VT,None,LGBM,1,0.8806,0.7338,0.8764
VT,None,LGBM,2,0.8973,0.748,0.8883
VT,None,LGBM,3,0.8971,0.739,0.8833
VT,None,LGBM,4,0.8964,0.7453,0.886
VT,None,LGBM,5,0.9008,0.7462,0.8873
VT,None,CAT,1,0.8899,0.7469,0.8747
VT,None,CAT,2,0.9236,0.7719,0.9141
VT,None,CAT,3,0.8981,0.7486,0.888
VT,None,CAT,4,0.8812,0.7388,0.8762
VT,None,CAT,5,0.9035,0.7525,0.891
VT,None,STACK,1,0.9343,0.7783,0.9232
VT,None,STACK,2,0.9392,0.8019,0.9324
VT,None,STACK,3,0.9504,0.789,0.9417
VT,None,STACK,4,0.936,0.7804,0.9193
VT,None,STACK,5,0.9289,0.7771,0.9205
VT,PCA,DT,1,0.8214,0.6673,0.8088
VT,PCA,DT,2,0.8393,0.6929,0.8324
VT,PCA,DT,3,0.8382,0.6856,0.8268
VT,PCA,DT,4,0.8369,0.6793,0.8251
VT,PCA,DT,5,0.8579,0.699,0.8446
VT,PCA,LR,1,0.8288,0.6737,0.8167
VT,PCA,LR,2,0.8513,0.6981,0.8433
VT,PCA,LR,3,0.8552,0.6982,0.8354
VT,PCA,LR,4,0.8096,0.6767,0.8079
VT,PCA,LR,5,0.8353,0.6811,0.8155
VT,PCA,KNN,1,0.8656,0.7167,0.85
VT,PCA,KNN,2,0.8623,0.7141,0.848
VT,PCA,KNN,3,0.8811,0.7262,0.8641
VT,PCA,KNN,4,0.8819,0.7213,0.8694
VT,PCA,KNN,5,0.88,0.7356,0.8761
VT,PCA,NB,1,0.7608,0.6145,0.7518
VT,PCA,NB,2,0.7332,0.583,0.722
VT,PCA,NB,3,0.7543,0.592,0.7353
VT,PCA,NB,4,0.7267,0.5888,0.7226
VT,PCA,NB,5,0.7291,0.5833,0.715
VT,PCA,SVM,1,0.8235,0.675,0.8135
VT,PCA,SVM,2,0.8151,0.666,0.8017
VT,PCA,SVM,3,0.843,0.6862,0.824
VT,PCA,SVM,4,0.8141,0.6669,0.8052
VT,PCA,SVM,5,0.8136,0.6521,0.8018
VT,PCA,RF,1,0.8927,0.7296,0.8798
VT,PCA,RF,2,0.8918,0.7443,0.8813
VT,PCA,RF,3,0.8768,0.7247,0.8687
VT,PCA,RF,4,0.8988,0.7413,0.8874
VT,PCA,RF,5,0.8903,0.7426,0.884
VT,PCA,ET,1,0.9199,0.7584,0.9061
VT,PCA,ET,2,0.9001,0.7588,0.8945
VT,PCA,ET,3,0.8905,0.7356,0.8818
VT,PCA,ET,4,0.9079,0.764,0.9001
VT,PCA,ET,5,0.9059,0.751,0.8956
VT,PCA,GB,1,0.8831,0.7321,0.8722
VT,PCA,GB,2,0.8683,0.7188,0.8592
VT,PCA,GB,3,0.8785,0.7294,0.8719
VT,PCA,GB,4,0.8798,0.7292,0.8677
VT,PCA,GB,5,0.886,0.7378,0.8731
VT,PCA,XGB,1,0.8992,0.7607,0.8933
VT,PCA,XGB,2,0.8879,0.7312,0.8698
VT,PCA,XGB,3,0.8898,0.7401,0.8767
VT,PCA,XGB,4,0.8911,0.734,0.8796
VT,PCA,XGB,5,0.9157,0.7539,0.8906
VT,PCA,LGBM,1,0.8913,0.7382,0.8815
VT,PCA,LGBM,2,0.8677,0.7227,0.8584
VT,PCA,LGBM,3,0.8693,0.722,0.8634
VT,PCA,LGBM,4,0.8875,0.7362,0.881
VT,PCA,LGBM,5,0.8965,0.7419,0.8807
VT,PCA,CAT,1,0.895,0.7444,0.89
VT,PCA,CAT,2,0.8931,0.7389,0.8862
VT,PCA,CAT,3,0.8474,0.7196,0.8499
VT,PCA,CAT,4,0.8732,0.7189,0.8568
VT,PCA,CAT,5,0.8866,0.7356,0.8772
VT,PCA,STACK,1,0.9184,0.7701,0.9092
VT,PCA,STACK,2,0.9238,0.7746,0.9087
VT,PCA,STACK,3,0.9323,0.7792,0.9182
VT,PCA,STACK,4,0.9111,0.763,0.9003
VT,PCA,STACK,5,0.9125,0.7681,0.9059
VT,LDA,DT,1,0.8794,0.7344,0.8791
VT,LDA,DT,2,0.896,0.7435,0.8823
VT,LDA,DT,3,0.8842,0.7452,0.8712
VT,LDA,DT,4,0.891,0.7432,0.8834
VT,LDA,DT,5,0.9056,0.7485,0.8865
VT,LDA,LR,1,0.9124,0.7556,0.9063
VT,LDA,LR,2,0.8903,0.7324,0.876
VT,LDA,LR,3,0.8904,0.7504,0.8827
VT,LDA,LR,4,0.9047,0.7562,0.8953
VT,LDA,LR,5,0.8909,0.7482,0.8836
VT,LDA,KNN,1,0.9222,0.7657,0.9146
VT,LDA,KNN,2,0.9336,0.7848,0.9197
VT,LDA,KNN,3,0.9157,0.7613,0.9059
VT,LDA,KNN,4,0.945,0.8011,0.9346
VT,LDA,KNN,5,0.9377,0.7837,0.9298
VT,LDA,NB,1,0.786,0.6509,0.7802
VT,LDA,NB,2,0.8086,0.6545,0.8
VT,LDA,NB,3,0.8291,0.6706,0.8194
VT,LDA,NB,4,0.7631,0.6259,0.757
VT,LDA,NB,5,0.8022,0.6612,0.8027
VT,LDA,SVM,1,0.8939,0.7377,0.8858
VT,LDA,SVM,2,0.893,0.7325,0.8828
VT,LDA,SVM,3,0.887,0.7352,0.877
VT,LDA,SVM,4,0.8973,0.7357,0.8818
VT,LDA,SVM,5,0.9036,0.7484,0.8879
VT,LDA,RF,1,0.957,0.7995,0.9418
VT,LDA,RF,2,0.9693,0.8081,0.957
VT,LDA,RF,3,0.9341,0.7832,0.9174
VT,LDA,RF,4,0.9444,0.7967,0.9386
VT,LDA,RF,5,0.9654,0.81,0.9481
VT,LDA,ET,1,0.9636,0.8047,0.9503
VT,LDA,ET,2,0.9538,0.8028,0.9483
VT,LDA,ET,3,0.9523,0.8018,0.9454
VT,LDA,ET,4,0.9473,0.8041,0.9423
VT,LDA,ET,5,0.9731,0.8204,0.9635
VT,LDA,GB,1,0.95,0.7889,0.9312
VT,LDA,GB,2,0.9501,0.7987,0.9362
VT,LDA,GB,3,0.9471,0.7888,0.9278
VT,LDA,GB,4,0.9237,0.7858,0.9234
VT,LDA,GB,5,0.9248,0.776,0.9182
VT,LDA,XGB,1,0.9457,0.8052,0.9396
VT,LDA,XGB,2,0.967,0.8067,0.9541
VT,LDA,XGB,3,0.9757,0.812,0.9605
VT,LDA,XGB,4,0.9434,0.7908,0.9303
VT,LDA,XGB,5,0.9402,0.7959,0.9381
VT,LDA,LGBM,1,0.9232,0.7817,0.9244
VT,LDA,LGBM,2,0.9202,0.7789,0.9188
VT,LDA,LGBM,3,0.9351,0.7906,0.9266
VT,LDA,LGBM,4,0.9355,0.7874,0.9284
VT,LDA,LGBM,5,0.9407,0.7909,0.9279
VT,LDA,CAT,1,0.9688,0.8169,0.9579
VT,LDA,CAT,2,0.938,0.7884,0.9318
VT,LDA,CAT,3,0.9456,0.7919,0.9347
VT,LDA,CAT,4,0.9656,0.8111,0.9583
VT,LDA,CAT,5,0.9649,0.8013,0.9501
VT,LDA,STACK,1,0.9906,0.8371,0.9837
VT,LDA,STACK,2,1.0015,0.8364,0.9834
VT,LDA,STACK,3,0.9726,0.8219,0.9607
VT,LDA,STACK,4,0.9786,0.8271,0.9652
VT,LDA,STACK,5,0.9693,0.8265,0.9575
VT,ICA,DT,1,0.8343,0.6958,0.8321
VT,ICA,DT,2,0.8405,0.7101,0.839
VT,ICA,DT,3,0.8599,0.6972,0.8434
VT,ICA,DT,4,0.83,0.6885,0.8276
VT,ICA,DT,5,0.852,0.7101,0.8427
VT,ICA,LR,1,0.8766,0.7203,0.8592
VT,ICA,LR,2,0.8574,0.7013,0.8431
VT,ICA,LR,3,0.8683,0.7086,0.8555
VT,ICA,LR,4,0.8667,0.6936,0.8534
VT,ICA,LR,5,0.8545,0.7111,0.8441
VT,ICA,KNN,1,0.8905,0.7354,0.8786
VT,ICA,KNN,2,0.9118,0.7585,0.8992
VT,ICA,KNN,3,0.8921,0.7437,0.883
VT,ICA,KNN,4,0.9018,0.751,0.8949
VT,ICA,KNN,5,0.8843,0.7289,0.8685
VT,ICA,NB,1,0.7646,0.6097,0.7585
VT,ICA,NB,2,0.7459,0.6114,0.7388
VT,ICA,NB,3,0.768,0.6069,0.7495
VT,ICA,NB,4,0.7709,0.6103,0.7576
VT,ICA,NB,5,0.7745,0.6199,0.7575
VT,ICA,SVM,1,0.837,0.6893,0.8317
VT,ICA,SVM,2,0.8349,0.6948,0.8275
VT,ICA,SVM,3,0.8464,0.7035,0.8432
VT,ICA,SVM,4,0.8714,0.7147,0.8564
VT,ICA,SVM,5,0.8448,0.7079,0.8445
VT,ICA,RF,1,0.9017,0.7508,0.897
VT,ICA,RF,2,0.9171,0.7682,0.9051
VT,ICA,RF,3,0.8974,0.7418,0.8876
VT,ICA,RF,4,0.9238,0.7689,0.9098
VT,ICA,RF,5,0.9051,0.759,0.9027
VT,ICA,ET,1,0.9126,0.7592,0.9028
VT,ICA,ET,2,0.9193,0.7677,0.9068
VT,ICA,ET,3,0.912,0.7641,0.9066
VT,ICA,ET,4,0.9262,0.7659,0.9109
VT,ICA,ET,5,0.908,0.759,0.9032
VT,ICA,GB,1,0.8923,0.7573,0.8878
VT,ICA,GB,2,0.9012,0.7449,0.8841
VT,ICA,GB,3,0.923,0.759,0.9069
VT,ICA,GB,4,0.9012,0.7472,0.8858
VT,ICA,GB,5,0.8929,0.7504,0.8896
VT,ICA,XGB,1,0.8927,0.7589,0.885
VT,ICA,XGB,2,0.9013,0.7502,0.8937
VT,ICA,XGB,3,0.9082,0.7567,0.9034
VT,ICA,XGB,4,0.9041,0.7632,0.8937
VT,ICA,XGB,5,0.9139,0.7641,0.9084
VT,ICA,LGBM,1,0.9047,0.7532,0.8948
VT,ICA,LGBM,2,0.9058,0.7515,0.8938
VT,ICA,LGBM,3,0.8966,0.74,0.8741
VT,ICA,LGBM,4,0.9145,0.7692,0.9022
VT,ICA,LGBM,5,0.9107,0.7563,0.9
VT,ICA,CAT,1,0.8974,0.7507,0.8898
VT,ICA,CAT,2,0.9093,0.7613,0.9
