FS,FE,Classifier,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
VT,None,DT,0.8574,0.0602,0.6988,0.062,0.8418,0.0092
VT,None,LR,0.8549,0.0845,0.7048,0.0592,0.8444,0.0074
VT,None,KNN,0.8896,0.0679,0.7338,0.0606,0.8751,0.0073
VT,None,NB,0.7465,0.0626,0.6016,0.0557,0.7339,0.0077
VT,None,SVM,0.8561,0.0847,0.7013,0.0527,0.8415,0.0068
VT,None,RF,0.8971,0.0716,0.7508,0.0619,0.8881,0.005
VT,None,ET,0.9118,0.0558,0.7662,0.066,0.905,0.0067
VT,None,GB,0.8762,0.0778,0.7315,0.0698,0.8699,0.0066
VT,None,XGB,0.8877,0.0582,0.7419,0.0589,0.8792,0.0074
VT,None,LGBM,0.8882,0.0664,0.7399,0.0621,0.8801,0.0073
VT,None,CAT,0.8947,0.066,0.7466,0.0582,0.8842,0.0053
VT,None,STACK,0.9213,0.0713,0.7718,0.0623,0.9091,0.0071
VT,PCA,DT,0.8343,0.0642,0.6857,0.0538,0.8269,0.0063
VT,PCA,LR,0.8363,0.0546,0.6884,0.0603,0.8249,0.0079
VT,PCA,KNN,0.8778,0.0805,0.7274,0.0695,0.871,0.0068
VT,PCA,NB,0.7397,0.0771,0.588,0.0661,0.7286,0.008
VT,PCA,SVM,0.8361,0.0565,0.6801,0.0689,0.8204,0.0074
VT,PCA,RF,0.8789,0.0625,0.7336,0.0648,0.8701,0.0089
VT,PCA,ET,0.9126,0.0891,0.7596,0.0674,0.9052,0.0079
VT,PCA,GB,0.8833,0.0792,0.7287,0.064,0.8715,0.0068
VT,PCA,XGB,0.8907,0.0685,0.7419,0.0545,0.8828,0.0083
VT,PCA,LGBM,0.8775,0.0754,0.7278,0.0692,0.8698,0.0074
VT,PCA,CAT,0.8865,0.0679,0.7366,0.0602,0.8747,0.0077
VT,PCA,STACK,0.918,0.0764,0.772,0.0545,0.9075,0.0074
VT,LDA,DT,0.8952,0.0654,0.7519,0.0647,0.8892,0.0081
