Rank,FS,FE,Classifier,Macro-F1 (μ ± σ),Weighted-F1 (μ ± σ)
1,Chi2,LDA,STACK,0.8361 ± 0.0595,0.9588 ± 0.0049
2,ANOVA,LDA,STACK,0.8329 ± 0.0628,0.9583 ± 0.0066
3,ANOVA,PCA,STACK,0.8285 ± 0.0626,0.9575 ± 0.0041
4,ANOVA,SVD,STACK,0.8285 ± 0.0626,0.9575 ± 0.0041
5,ANOVA,ICA,STACK,0.8277 ± 0.0605,0.9543 ± 0.0054
6,VT,LDA,STACK,0.8270 ± 0.0566,0.9610 ± 0.0042
7,Chi2,ICA,STACK,0.8196 ± 0.0577,0.9482 ± 0.0057
8,VT,LDA,RF,0.8163 ± 0.0565,0.9584 ± 0.0052
9,Chi2,PCA,STACK,0.8157 ± 0.0578,0.9446 ± 0.0062
10,Chi2,SVD,STACK,0.8157 ± 0.0578,0.9446 ± 0.0062
