Rank,FS,FE,Classifier,Macro-F1 (μ ± σ),Weighted-F1 (μ ± σ)
1,Chi2,LDA,STACK,0.7924 ± 0.0642,0.9348 ± 0.0068
2,ANOVA,LDA,STACK,0.7881 ± 0.0665,0.9332 ± 0.0074
3,VT,LDA,STACK,0.7849 ± 0.0618,0.9365 ± 0.0061
4,Chi2,PCA,STACK,0.7796 ± 0.0653,0.9294 ± 0.0079
5,ANOVA,PCA,STACK,0.7778 ± 0.0671,0.9287 ± 0.0063
6,Chi2,ICA,STACK,0.7742 ± 0.0639,0.9261 ± 0.0072
7,VT,LDA,RF,0.7715 ± 0.0607,0.9328 ± 0.0069
8,ANOVA,ICA,STACK,0.7703 ± 0.0648,0.9257 ± 0.0075
9,Chi2,LDA,XGB,0.7689 ± 0.0626,0.9314 ± 0.0067
10,VT,PCA,STACK,0.7661 ± 0.0619,0.9246 ± 0.0071
