Rank,FS,FE,Classifier,Macro-F1 (μ ± σ),Weighted-F1 (μ ± σ)
1,Chi2,LDA,STACK,0.7518 ± 0.0715,0.9126 ± 0.0089
2,ANOVA,LDA,STACK,0.7472 ± 0.0738,0.9109 ± 0.0095
3,VT,LDA,STACK,0.7445 ± 0.0697,0.9148 ± 0.0082
4,Chi2,PCA,STACK,0.7391 ± 0.0724,0.9073 ± 0.0101
5,ANOVA,PCA,STACK,0.7368 ± 0.0746,0.9065 ± 0.0090
6,Chi2,ICA,STACK,0.7329 ± 0.0708,0.9042 ± 0.0096
7,VT,LDA,RF,0.7306 ± 0.0689,0.9102 ± 0.0088
8,ANOVA,ICA,STACK,0.7287 ± 0.0721,0.9036 ± 0.0097
9,Chi2,LDA,XGB,0.7265 ± 0.0695,0.9091 ± 0.0087
10,VT,PCA,STACK,0.7243 ± 0.0684,0.9027 ± 0.0093
