Dataset,FE,Macro-F1 (μ ± σ),Weighted-F1 (μ ± σ)
AWID,ICA,0.7421 ± 0.0783,0.9127 ± 0.0482
AWID,LDA,0.7617 ± 0.0570,0.9244 ± 0.0528
AWID,PCA,0.7354 ± 0.0748,0.9054 ± 0.0577
AWID,SVD,0.7353 ± 0.0748,0.9053 ± 0.0576
UNSW-NB15,ICA,0.7218 ± 0.0812,0.9086 ± 0.0513
UNSW-NB15,LDA,0.7395 ± 0.0648,0.9197 ± 0.0489
UNSW-NB15,PCA,0.7152 ± 0.0785,0.9021 ± 0.0557
UNSW-NB15,SVD,0.7150 ± 0.0782,0.9019 ± 0.0554
CSE-CIC-IDS2018,ICA,0.6887 ± 0.0864,0.8972 ± 0.0578
CSE-CIC-IDS2018,LDA,0.7043 ± 0.0726,0.9085 ± 0.0536
CSE-CIC-IDS2018,PCA,0.6825 ± 0.0831,0.8914 ± 0.0612
CSE-CIC-IDS2018,SVD,0.6822 ± 0.0829,0.8911 ± 0.0609
