Classifier,AWID Macro-F1 (μ ± σ),AWID Weighted-F1 (μ ± σ),UNSW-NB15 Macro-F1 (μ ± σ),UNSW-NB15 Weighted-F1 (μ ± σ),CSE-CIC-IDS2018 Macro-F1 (μ ± σ),CSE-CIC-IDS2018 Weighted-F1 (μ ± σ)
CAT,0.8124 ± 0.0168,0.9621 ± 0.0087,0.7816 ± 0.0189,0.9412 ± 0.0112,0.7681 ± 0.0179,0.9392 ± 0.0123
DT,0.7586 ± 0.0365,0.9483 ± 0.0142,0.7298 ± 0.0398,0.9285 ± 0.0169,0.7110 ± 0.0415,0.9197 ± 0.0187
ET,0.8297 ± 0.0214,0.9628 ± 0.0093,0.7965 ± 0.0247,0.9428 ± 0.0118,0.7828 ± 0.0256,0.9391 ± 0.0127
GB,0.7932 ± 0.0276,0.9576 ± 0.0108,0.7624 ± 0.0305,0.9376 ± 0.0126,0.7491 ± 0.0317,0.9347 ± 0.0135
KNN,0.8215 ± 0.0289,0.9532 ± 0.0121,0.7889 ± 0.0308,0.9324 ± 0.0139,0.7793 ± 0.0319,0.9264 ± 0.0153
LGBM,0.7859 ± 0.0443,0.9487 ± 0.0385,0.7543 ± 0.0497,0.9251 ± 0.0436,0.7308 ± 0.0551,0.9094 ± 0.0522
LR,0.7726 ± 0.0357,0.9441 ± 0.0196,0.7485 ± 0.0382,0.9226 ± 0.0228,0.7422 ± 0.0415,0.9057 ± 0.0265
NB,0.6113 ± 0.0684,0.8215 ± 0.0412,0.5869 ± 0.0712,0.8017 ± 0.0495,0.5729 ± 0.0741,0.7877 ± 0.0570
RF,0.8348 ± 0.0205,0.9635 ± 0.0096,0.8012 ± 0.0236,0.9436 ± 0.0123,0.7888 ± 0.0244,0.9397 ± 0.0129
STACK,0.8589 ± 0.0197,0.9687 ± 0.0079,0.8247 ± 0.0218,0.9489 ± 0.0096,0.8137 ± 0.0229,0.9492 ± 0.0101
SVM,0.7512 ± 0.0518,0.9034 ± 0.0417,0.7286 ± 0.0587,0.8783 ± 0.0489,0.7154 ± 0.0644,0.8498 ± 0.0553
XGB,0.8149 ± 0.0223,0.9642 ± 0.0088,0.7835 ± 0.0241,0.9448 ± 0.0111,0.7692 ± 0.0256,0.9429 ± 0.0121
