FS,FE,AWID Macro-F1 (μ ± σ),AWID Δ Macro-F1,UNSW Macro-F1 (μ ± σ),UNSW Δ Macro-F1,CIC Macro-F1 (μ ± σ),CIC Δ Macro-F1
VT,FS-only,0.8136 ± 0.0742,—,0.7849 ± 0.0618,—,0.7445 ± 0.0697,—
VT,PCA,0.6975 ± 0.0832,−0.1161,0.7721 ± 0.0642,−0.0128,0.7392 ± 0.0718,−0.0053
VT,LDA,0.8427 ± 0.0615,+0.0291,0.9038 ± 0.0526,+0.1189,0.8626 ± 0.0582,+0.1181
VT,ICA,0.7894 ± 0.0721,−0.0242,0.8015 ± 0.0673,+0.0166,0.7683 ± 0.0734,+0.0238
VT,SVD,0.6981 ± 0.0829,−0.1155,0.7715 ± 0.0640,−0.0134,0.7389 ± 0.0715,−0.0056
ANOVA,FS-only,0.8199 ± 0.0586,—,0.7881 ± 0.0665,—,0.7472 ± 0.0738,—
ANOVA,PCA,0.7686 ± 0.0622,−0.0512,0.7804 ± 0.0658,−0.0077,0.7426 ± 0.0725,−0.0046
ANOVA,LDA,0.8516 ± 0.0568,+0.0317,0.8824 ± 0.0541,+0.0943,0.8355 ± 0.0603,+0.0883
ANOVA,ICA,0.8023 ± 0.0619,−0.0176,0.7956 ± 0.0684,+0.0075,0.7628 ± 0.0751,+0.0156
ANOVA,SVD,0.7682 ± 0.0620,−0.0517,0.7801 ± 0.0655,−0.0080,0.7423 ± 0.0722,−0.0049
Chi2,FS-only,0.7805 ± 0.0995,—,0.7924 ± 0.0642,—,0.7518 ± 0.0715,—
Chi2,PCA,0.7391 ± 0.0667,−0.0414,0.7852 ± 0.0667,−0.0072,0.7469 ± 0.0732,−0.0049
Chi2,LDA,0.8239 ± 0.0637,+0.0434,0.9321 ± 0.0498,+0.1397,0.8912 ± 0.0564,+0.1394
Chi2,ICA,0.7958 ± 0.0678,+0.0153,0.8074 ± 0.0659,+0.0150,0.7706 ± 0.0727,+0.0188
Chi2,SVD,0.7388 ± 0.0664,−0.0417,0.7849 ± 0.0665,−0.0075,0.7465 ± 0.0729,−0.0053
